scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
QRBI01000120.1,406001,408000,407013,191,88,2.0648,2.6898,-0.1315,-0.136,-0.0714
QRBI01000120.1,412001,414000,413028,142,70,1.7894,1.956,-0.0445,-0.062,-0.0308
QRBI01000120.1,414001,416000,414955,162,50,0.6019,0.7407,-0.1034,-0.0717,-0.0187
QRBI01000120.1,416001,418000,416975,160,58,0.9688,1.9826,-0.3435,-0.6083,-0.1628
QRBI01000120.1,422001,424000,422876,169,58,2.3576,1.0243,0.3943,0.3216,0.2209
QRBI01000120.1,424001,426000,424842,136,56,1.1377,1.603,-0.1698,-0.1367,-0.0599
QRBI01000120.1,436001,438000,437053,146,53,1.0278,1.3333,-0.1294,-0.2635,-0.0579
QRBI01000120.1,440001,442000,441098,152,50,1.4861,1.2083,0.1031,0.0889,0.0496
QRBI01000120.1,446001,448000,447077,137,54,1.625,1.4722,0.0493,0.0503,0.0291
QRBI01000120.1,454001,456000,454910,166,61,2.4167,2.1389,0.061,0.0578,0.0364
QRBI01000120.1,456001,458000,457102,165,54,1.7917,0.75,0.4098,0.2586,0.1728
QRBI01000120.1,458001,460000,458936,147,56,0.8681,1.8333,-0.3573,-0.2902,-0.1572
QRBI01000120.1,468001,470000,468939,168,59,0.25,1.6944,-0.7429,-0.4622,-0.218
QRBI01000120.1,492001,494000,493050,131,50,1.0463,0.4213,0.4259,0.1424,0.1056
QRBI01000120.1,518001,520000,518987,176,60,1.4676,2.6759,-0.2916,-0.348,-0.1425
QRBI01000120.1,522001,524000,522975,148,53,0.8611,0.5833,0.1923,0.1028,0.0554
QRBI01000120.1,524001,526000,525140,187,70,1.0139,0.7639,0.1406,0.0539,0.0372
QRBI01000120.1,528001,530000,528930,110,55,2.1204,2.3287,-0.0468,-0.1017,-0.0378
QRBI01000120.1,534001,536000,534923,137,58,1.9606,1.3773,0.1748,0.1725,0.1148
QRBI01000120.1,540001,542000,541156,137,59,2.1574,2.4769,-0.0689,-0.1281,-0.0488
QRBI01000120.1,552001,554000,552940,201,56,1.8241,1.6574,0.0479,0.0719,0.0294
QRBI01000120.1,554001,556000,555004,208,77,2.7894,3.3866,-0.0967,-0.153,-0.0593
QRBI01000120.1,566001,568000,567105,126,52,1.0532,1.081,-0.013,-0.0133,-0.0079
QRBI01000120.1,586001,588000,587043,169,59,2.3241,2.4907,-0.0346,-0.0386,-0.0207
QRBI01000120.1,610001,612000,611145,139,60,3.309,2.2465,0.1912,0.258,0.1168
QRBI01000120.1,638001,640000,639112,173,54,1.8102,1.2755,0.1733,0.1172,0.0828
QRBI01000120.1,642001,644000,643027,146,52,1.8333,1.7361,0.0272,0.0222,0.0142
QRBI01000120.1,644001,646000,644813,149,64,3.0775,3.5775,-0.0751,-0.1417,-0.0407
QRBI01000120.1,648001,650000,649071,200,77,2.3426,2.4606,-0.0246,-0.0283,-0.0128
QRBI01000120.1,650001,652000,650862,152,60,2.7431,2.7222,0.0038,0.0043,0.0024
QRBI01000120.1,660001,662000,661041,175,71,1.4699,1.6505,-0.0579,-0.072,-0.0278
QRBI01000120.1,670001,672000,670924,161,60,2.1042,2.2639,-0.0366,-0.0307,-0.0173
QRBI01000120.1,710001,712000,710989,153,51,3.2778,1.1528,0.4796,0.3854,0.2747
QRBI01000120.1,728001,730000,728918,172,70,1.0208,1.8819,-0.2967,-0.2541,-0.1363
QRBI01000120.1,736001,738000,737092,177,62,2.9375,2.5486,0.0709,0.0717,0.0411
QRBI01000120.1,740001,742000,740977,146,55,0.9259,1.8565,-0.3344,-0.2204,-0.1074
QRBI01000120.1,742001,744000,742929,156,62,2.0764,2.4236,-0.0772,-0.0926,-0.0474
QRBI01000120.1,746001,748000,746987,153,68,3.3403,2.3125,0.1818,0.1727,0.109
QRBI01000120.1,748001,750000,748865,133,54,1.3287,2.9745,-0.3825,-0.683,-0.2613
QRBI01000120.1,784001,786000,784937,156,57,2.2824,3.0602,-0.1456,-0.2409,-0.1155
QRBI01000120.1,790001,792000,790945,148,59,1.0648,1.412,-0.1402,-0.1597,-0.0514
QRBI01000120.1,792001,794000,792834,141,56,0.6991,1.2269,-0.274,-0.9048,-0.1086
QRBI01000120.1,808001,810000,809115,150,66,0.9653,1.7986,-0.3015,-0.458,-0.1533
QRBI01000120.1,818001,820000,819096,155,67,2.2431,2.6042,-0.0745,-0.0746,-0.0402
QRBI01000120.1,820001,822000,821014,154,61,2.8113,1.1377,0.4238,0.3201,0.2702
QRBI01000120.1,860001,862000,861001,169,60,1.7407,0.9352,0.301,0.2358,0.1591
QRBI01000120.1,864001,866000,865049,149,57,1.4676,1.8426,-0.1133,-0.113,-0.063
QRBI01000120.1,866001,868000,866778,117,50,1.5451,0.816,0.3088,0.2147,0.1608
QRBI01000120.1,878001,880000,878976,160,53,1.3634,1.2523,0.0425,0.0399,0.0244
QRBI01000120.1,880001,882000,880981,164,54,1.0602,0.7824,0.1508,0.0821,0.0557
QRBI01000120.1,882001,884000,883080,159,54,1.6944,1.3333,0.1193,0.1215,0.0576
QRBI01000120.1,886001,888000,886941,156,57,1.25,1.4583,-0.0769,-0.0877,-0.037
QRBI01000120.1,890001,892000,891066,146,53,0.6736,0.2569,0.4478,0.1923,0.0998
QRBI01000120.1,900001,902000,901079,166,69,2.1157,0.8935,0.4062,0.3229,0.1567
QRBI01000120.1,902001,904000,902840,151,50,1.6157,1.588,0.0087,0.0082,0.0044
QRBI01000120.1,904001,906000,905010,170,69,2.1412,2.919,-0.1537,-0.186,-0.1057
QRBI01000120.1,906001,908000,906949,171,78,2.9537,1.8356,0.2334,0.1309,0.0892
QRBI01000120.1,916001,918000,916959,136,54,2.3218,0.9537,0.4177,0.4012,0.2356
QRBI01000120.1,940001,942000,940907,152,57,0.9583,1.1528,-0.0921,-0.0936,-0.0351
QRBI01000120.1,942001,944000,943147,163,62,0.4074,1.1019,-0.4601,-0.3145,-0.1546
QRBI01000120.1,952001,954000,952876,168,51,1.3333,1.625,-0.0986,-0.1438,-0.0455
QRBI01000120.1,954001,956000,955063,149,56,1.2315,1.0023,0.1026,0.0776,0.0491
QRBI01000120.1,966001,968000,967025,172,66,1.6644,1.4074,0.0836,0.0709,0.0452
QRBI01000120.1,990001,992000,991124,188,58,0.9769,2.338,-0.4106,-0.4949,-0.2016
QRBI01000120.1,996001,998000,997076,164,71,3.0579,2.2662,0.1487,0.1052,0.0723
QRBI01000120.1,1002001,1004000,1003015,146,62,1.0556,0.9722,0.0411,0.0277,0.0173
QRBI01000120.1,1004001,1006000,1004911,158,54,2.6181,1.6319,0.232,0.2067,0.1239
QRBI01000120.1,1022001,1024000,1023062,182,71,2.0382,2.2882,-0.0578,-0.0997,-0.0294
QRBI01000120.1,1028001,1030000,1029101,129,53,1.4236,1.5694,-0.0487,-0.0574,-0.0271
QRBI01000120.1,1046001,1048000,1046652,194,58,1.7546,1.713,0.012,0.0103,0.0066
QRBI01000120.1,1058001,1060000,1059053,191,64,2.5,2.0694,0.0942,0.1366,0.067
QRBI01000120.1,1062001,1064000,1062939,135,53,3.3264,0.7569,0.6293,0.3435,0.3101
QRBI01000120.1,1064001,1066000,1065090,130,50,0.9352,1.5741,-0.2546,-0.21,-0.1245
QRBI01000120.1,1076001,1078000,1076959,167,65,2.2384,1.4468,0.2148,0.1631,0.1109
QRBI01000120.1,1084001,1086000,1084933,145,73,2.4815,1.6481,0.2018,0.1565,0.1077
QRBI01000120.1,1094001,1096000,1094882,129,50,1.4236,1.1042,0.1264,0.0797,0.0648
QRBI01000120.1,1166001,1168000,1166904,160,64,1.4028,1.5,-0.0335,-0.0251,-0.0152
QRBI01000120.1,1174001,1176000,1175193,124,51,1.0764,0.7014,0.2109,0.1074,0.0685
QRBI01000120.1,1180001,1182000,1180946,162,52,1.412,1.2731,0.0517,0.0504,0.0299
QRBI01000120.1,1182001,1184000,1182939,180,50,2.1991,0.7269,0.5032,0.3569,0.2753
QRBI01000120.1,1188001,1190000,1189041,186,51,0.4491,0.1574,0.4809,0.121,0.0822
QRBI01000120.1,1190001,1192000,1191092,159,50,0.3333,1.1667,-0.5556,-0.2147,-0.1249
QRBI01000120.1,1198001,1200000,1198989,151,53,0.5255,0.4838,0.0413,0.0233,0.0107
QRBI01000120.1,1218001,1220000,1218902,137,61,0.5556,0.5,0.0526,0.0167,0.0098
QRBI01000120.1,1222001,1224000,1223079,148,51,2.5625,1.4375,0.2812,0.1988,0.1511
QRBI01000120.1,1234001,1236000,1235030,127,50,1.4722,0.7917,0.3006,0.2248,0.1458
QRBI01000120.1,1240001,1242000,1241274,140,56,0.8843,0.9676,-0.045,-0.032,-0.0169
QRBI01000120.1,1246001,1248000,1247338,144,60,2.2199,1.8727,0.0848,0.0792,0.0507
QRBI01000120.1,1258001,1260000,1258992,171,56,1.6713,1.6574,0.0042,0.0047,0.002
QRBI01000120.1,1260001,1262000,1261035,180,79,2.3241,4.1227,-0.279,-0.3124,-0.1625
QRBI01000120.1,1266001,1268000,1267024,148,65,1.9352,2.2546,-0.0762,-0.072,-0.0295
QRBI01000120.1,1286001,1288000,1287019,120,51,2.1481,0.4259,0.6691,0.3605,0.2322
QRBI01000120.1,1288001,1290000,1289006,172,55,2.4259,1.3287,0.2922,0.2013,0.1524
QRBI01000120.1,1296001,1298000,1296854,141,59,3.4444,1.2222,0.4762,0.3383,0.3033
QRBI01000120.1,1330001,1332000,1330986,156,58,0.9583,1.5833,-0.2459,-0.4147,-0.0836
QRBI01000120.1,1336001,1338000,1337305,124,52,0.9167,0.7222,0.1186,0.1049,0.0427
QRBI01000120.1,1374001,1376000,1374965,159,61,1.0949,2.0671,-0.3075,-0.1928,-0.1124
QRBI01000120.1,1388001,1390000,1388989,167,63,0.4074,0.588,-0.1814,-0.0724,-0.0383
QRBI01000120.1,1446001,1448000,1447090,165,50,1.6875,1.4861,0.0635,0.0664,0.0324
QRBI01000120.1,1488001,1490000,1488929,133,51,2.3611,0.7222,0.5315,0.313,0.243
QRBI01000120.1,1506001,1508000,1507119,125,55,0.7824,1.5255,-0.322,-0.1578,-0.0909
QRBI01000120.1,1534001,1536000,1535127,191,57,0.7593,2.037,-0.457,-0.4259,-0.2142
QRBI01000120.1,1546001,1548000,1547022,181,74,1.3438,2.3438,-0.2712,-0.2257,-0.1327
QRBI01000120.1,1552001,1554000,1552895,141,57,2.2164,1.9803,0.0563,0.0456,0.033
QRBI01000120.1,1558001,1560000,1558879,126,51,1.147,1.4734,-0.1246,-0.0707,-0.0503
QRBI01000120.1,1564001,1566000,1564840,159,63,1.6088,2.8171,-0.273,-0.5058,-0.1602
QRBI01000120.1,1566001,1568000,1566930,130,54,1.4421,1.5532,-0.0371,-0.0661,-0.0238
QRBI01000120.1,1570001,1572000,1571072,149,52,0.8611,1.3333,-0.2152,-0.2145,-0.1162
QRBI01000120.1,1572001,1574000,1573096,167,69,2.4444,0.9722,0.4309,0.3481,0.276
QRBI01000120.1,1588001,1590000,1589144,122,52,0.4653,1.0486,-0.3853,-0.4565,-0.1787
QRBI01000120.1,1590001,1592000,1590980,189,69,1.9259,1.6204,0.0862,0.0902,0.0551
QRBI01000120.1,1592001,1594000,1593005,142,53,0.4444,0.6806,-0.2099,-0.0974,-0.0514
QRBI01000120.1,1604001,1606000,1605018,167,63,1.2685,1.0324,0.1026,0.1012,0.0499
QRBI01000120.1,1620001,1622000,1620987,162,54,1.8472,0.75,0.4225,0.1804,0.1212
QRBI01000120.1,1640001,1642000,1640984,140,50,0.9028,2.1667,-0.4118,-0.4679,-0.1996
QRBI01000120.1,1646001,1648000,1646910,116,55,0.7824,1.9769,-0.4329,-0.5972,-0.2433
QRBI01000120.1,1662001,1664000,1662911,150,58,1.2986,0.4514,0.4841,0.1955,0.1558
QRBI01000120.1,1716001,1718000,1717047,140,56,1.7037,1.8704,-0.0466,-0.0674,-0.0352
QRBI01000120.1,1720001,1722000,1721008,145,52,1.8125,2.4375,-0.1471,-0.2118,-0.0896
QRBI01000120.1,1728001,1730000,1728946,157,67,1.5,2.5556,-0.2603,-0.2784,-0.1223
QRBI01000120.1,1732001,1734000,1732724,129,56,1.9167,1.3889,0.1597,0.152,0.095
QRBI01000120.1,1748001,1750000,1749176,106,53,1.537,2.4398,-0.227,-0.21,-0.1215
QRBI01000120.1,1760001,1762000,1761128,112,52,2.4491,0.463,0.682,0.4051,0.3329
QRBI01000120.1,1802001,1804000,1802891,115,50,0.8796,1.1991,-0.1537,-0.1925,-0.0906
QRBI01000120.1,1808001,1810000,1809006,139,53,1.5787,1.287,0.1018,0.0933,0.0537
QRBI01000120.1,1824001,1826000,1824930,140,64,0.9676,2.7454,-0.4788,-0.7574,-0.2658
QRBI01000120.1,1854001,1856000,1855032,140,52,0.2917,0.2222,0.1351,0.0301,0.0229
QRBI01000120.1,1862001,1864000,1863162,144,52,1.875,0.7917,0.4063,0.2622,0.2039
QRBI01000120.1,1890001,1892000,1890955,161,55,0.8889,1.4306,-0.2335,-0.2609,-0.0744
QRBI01000120.1,1948001,1950000,1948941,151,52,0.6389,1.3681,-0.3633,-0.1768,-0.1
QRBI01000120.1,1966001,1968000,1966797,102,51,0.7083,0.4306,0.2439,0.117,0.0866
QRBI01000120.1,1974001,1976000,1974964,112,61,1.3472,0.1667,0.7798,0.4116,0.3414
QRBI01000120.1,1990001,1992000,1991039,158,56,2.0312,2.6493,-0.132,-0.1906,-0.0896
QRBI01000120.1,1992001,1994000,1992996,159,60,3.3872,1.4427,0.4026,0.4029,0.2445
QRBI01000120.1,1994001,1996000,1995072,148,76,4.5579,2.0301,0.3837,0.5063,0.3864
QRBI01000120.1,2004001,2006000,2005094,136,52,1.0856,2.0162,-0.3,-1.0075,-0.2097
QRBI01000120.1,2006001,2008000,2007134,196,77,2.0949,1.1366,0.2966,0.2367,0.1577
QRBI01000120.1,2036001,2038000,2036986,139,52,0.4931,0.1875,0.449,0.1317,0.0845
QRBI01000120.1,2040001,2042000,2040828,131,57,2.4236,2.25,0.0371,0.0332,0.017
QRBI01000120.1,2046001,2048000,2046941,180,69,2.0556,0.875,0.4028,0.3609,0.2787
QRBI01000120.1,2062001,2064000,2063075,159,55,1.36,0.86,0.2252,0.1935,0.1101
QRBI01000120.1,2068001,2070000,2068951,158,54,2.6366,1.7755,0.1952,0.2214,0.1434
QRBI01000120.1,2070001,2072000,2071130,134,64,1.6481,1.5787,0.0215,0.0218,0.0149
QRBI01000120.1,2084001,2086000,2084966,137,65,1.7083,1.3056,0.1336,0.1198,0.0691
QRBI01000120.1,2088001,2090000,2088963,165,61,1.3067,0.6887,0.3097,0.1255,0.0926
QRBI01000120.1,2114001,2116000,2114870,141,50,1.2731,1.1343,0.0577,0.0416,0.0326
QRBI01000120.1,2122001,2124000,2123017,124,51,1.2986,1.0208,0.1198,0.0837,0.0531
QRBI01000120.1,2130001,2132000,2131066,134,57,0.9815,2.1204,-0.3672,-0.7387,-0.2591
QRBI01000120.1,2168001,2170000,2169142,141,56,1.6435,0.9769,0.2544,0.2248,0.131
QRBI01000120.1,2174001,2176000,2175132,210,74,2.2222,2.1667,0.0127,0.0131,0.0066
QRBI01000120.1,2184001,2186000,2185013,142,52,0.8009,1.3634,-0.2599,-0.1734,-0.0908
QRBI01000120.1,2186001,2188000,2186979,175,67,1.4653,1.7986,-0.1021,-0.1043,-0.0671
QRBI01000120.1,2208001,2210000,2208953,164,53,0.8125,0.8542,-0.025,-0.0202,-0.011
QRBI01000120.1,2210001,2212000,2210938,153,62,0.7083,1.1528,-0.2388,-0.1303,-0.0907
QRBI01000120.1,2226001,2228000,2227013,190,55,0.8958,0.3542,0.4333,0.1632,0.1207
QRBI01000120.1,2238001,2240000,2239076,129,54,1.588,0.6435,0.4232,0.245,0.2067
QRBI01000120.1,2244001,2246000,2244861,118,50,1.1991,0.4074,0.4928,0.2923,0.2303
QRBI01000120.1,2252001,2254000,2252965,152,51,1.0926,1.5093,-0.1601,-0.1681,-0.0647
QRBI01000120.1,2284001,2286000,2285013,160,53,0.838,1.4699,-0.2738,-0.3957,-0.1447
QRBI01000120.1,2292001,2294000,2292994,179,66,1.6343,1.6065,0.0086,0.0056,0.0038
QRBI01000120.1,2304001,2306000,2305135,145,50,0.9352,1.1019,-0.0818,-0.0386,-0.0235
QRBI01000120.1,2324001,2326000,2324873,145,58,1.9352,2.0602,-0.0313,-0.0368,-0.0172
QRBI01000120.1,2334001,2336000,2335092,130,50,0.963,2.088,-0.3687,-0.5891,-0.2045
QRBI01000120.1,2336001,2338000,2337039,155,64,2.2234,1.3067,0.2597,0.1789,0.1311
QRBI01000120.1,2338001,2340000,2338908,144,59,1.2662,1.0301,0.1028,0.0974,0.0509
QRBI01000120.1,2352001,2354000,2353091,180,67,1.5509,1.3009,0.0877,0.0698,0.0349
QRBI01000120.1,2358001,2360000,2359095,177,73,2.0278,2.3889,-0.0818,-0.0636,-0.0335
QRBI01000120.1,2364001,2366000,2364949,163,55,2.5949,2.0394,0.1199,0.1368,0.0935
QRBI01000120.1,2374001,2376000,2375090,140,60,0.9259,0.9676,-0.022,-0.02,-0.0084
QRBI01000120.1,2388001,2390000,2389238,148,51,0.7894,1.9421,-0.422,-0.4403,-0.2361
QRBI01000120.1,2398001,2400000,2398981,180,56,1.125,1.5694,-0.1649,-0.141,-0.0943
QRBI01000120.1,2406001,2408000,2407071,178,78,0.7801,1.3079,-0.2528,-0.2568,-0.0999
QRBI01000120.1,2408001,2410000,2408750,151,58,0.4259,1.0648,-0.4286,-0.2283,-0.1451
QRBI01000120.1,2412001,2414000,2413092,128,55,1.8519,1.463,0.1173,0.0872,0.0579
QRBI01000120.1,2424001,2426000,2424928,150,57,1.1829,1.044,0.0624,0.0656,0.0342
QRBI01000120.1,2442001,2444000,2442903,175,54,0.6088,0.3449,0.2767,0.1343,0.0729
QRBI01000120.1,2450001,2452000,2451052,160,55,0.838,0.4213,0.3309,0.1327,0.0915
QRBI01000120.1,2456001,2458000,2456815,151,55,2.3681,1.2847,0.2966,0.3133,0.2134
QRBI01000120.1,2458001,2460000,2458914,157,53,1.4236,0.6458,0.3758,0.3043,0.1804
QRBI01000120.1,2462001,2464000,2462959,142,51,1.1875,1.2778,-0.0366,-0.0351,-0.0184
QRBI01000120.1,2464001,2466000,2464844,158,55,1.6227,1.9769,-0.0984,-0.1111,-0.0548
QRBI01000120.1,2496001,2498000,2496990,144,53,1.6597,0.9375,0.2781,0.1536,0.1169
QRBI01000120.1,2500001,2502000,2500954,137,51,1.9931,1.0903,0.2928,0.3044,0.1976
QRBI01000120.1,2512001,2514000,2512856,129,53,1.3565,1.8148,-0.1445,-0.1215,-0.0745
QRBI01000120.1,2516001,2518000,2516872,130,57,3.088,0.838,0.5731,0.3853,0.2951
QRBI01000120.1,2524001,2526000,2525004,134,53,2.0556,1.2639,0.2385,0.2591,0.1929
QRBI01000120.1,2526001,2528000,2526992,160,53,1.7616,2.0463,-0.0748,-0.0686,-0.0329
QRBI01000120.1,2528001,2530000,2528878,125,51,1.5694,0.9444,0.2486,0.1927,0.119
QRBI01000120.1,2532001,2534000,2532782,111,53,1.1146,1.9826,-0.2803,-0.4433,-0.1526
QRBI01000120.1,2536001,2538000,2536919,131,59,0.9005,2.0116,-0.3816,-0.5714,-0.1944
QRBI01000120.1,2550001,2552000,2551064,182,53,0.4491,1.1157,-0.426,-0.2799,-0.1144
QRBI01000120.1,2570001,2572000,2570970,148,50,1.3843,1.0787,0.1241,0.1796,0.0604
QRBI01000120.1,2594001,2596000,2595037,94,51,5.2685,0.713,0.7616,0.7115,0.6266
QRBI01000120.1,2614001,2616000,2615140,133,51,0.5741,1.1852,-0.3474,-0.3121,-0.1612
QRBI01000120.1,2618001,2620000,2619066,156,71,1.3403,1.4236,-0.0302,-0.0303,-0.0142
QRBI01000120.1,2622001,2624000,2623005,130,60,1.5046,1.713,-0.0647,-0.0728,-0.0407
QRBI01000120.1,2626001,2628000,2627013,162,55,1.8171,0.9699,0.304,0.2579,0.174
QRBI01000120.1,2632001,2634000,2633209,144,51,1.4167,0.8889,0.2289,0.2468,0.1128
QRBI01000120.1,2640001,2642000,2640775,122,52,1.338,1.9074,-0.1755,-0.3037,-0.1176
QRBI01000120.1,2648001,2650000,2649068,135,52,1.3472,1.7083,-0.1182,-0.208,-0.0627
QRBI01000120.1,2650001,2652000,2650887,133,58,1.5301,1.5301,0.0,0.0,0.0
QRBI01000120.1,2652001,2654000,2652941,157,52,1.4468,0.6343,0.3904,0.3611,0.2139
QRBI01000120.1,2654001,2656000,2655044,166,57,1.7824,2.9769,-0.251,-0.3683,-0.1555
QRBI01000120.1,2662001,2664000,2663058,158,66,0.9769,1.5463,-0.2257,-0.1449,-0.0741
QRBI01000120.1,2676001,2678000,2676931,164,59,0.7963,0.9769,-0.1018,-0.1368,-0.0433
QRBI01000120.1,2684001,2686000,2685212,131,52,1.0023,0.7106,0.1703,0.1228,0.0702
QRBI01000120.1,2690001,2692000,2690900,151,52,2.1713,1.0463,0.3496,0.2481,0.1672
QRBI01000120.1,2692001,2694000,2692952,150,51,1.2037,1.7454,-0.1837,-0.1785,-0.0849
QRBI01000120.1,2734001,2736000,2735015,124,52,1.0046,0.8241,0.0987,0.0765,0.0455
QRBI01000120.1,2736001,2738000,2737111,143,61,1.485,2.5058,-0.2558,-0.3203,-0.1259
QRBI01000120.1,2796001,2798000,2796970,152,56,1.6412,2.2245,-0.1509,-0.2561,-0.1019
QRBI01000120.1,2802001,2804000,2803045,160,59,2.6343,0.912,0.4856,0.3827,0.2704
QRBI01000120.1,2818001,2820000,2819033,166,75,1.3495,1.3912,-0.0152,-0.0115,-0.0059
QRBI01000120.1,2846001,2848000,2847088,112,51,1.1319,0.8403,0.1479,0.1045,0.0679
QRBI01000120.1,2860001,2862000,2861059,131,50,0.8218,1.1134,-0.1507,-0.175,-0.0507
QRBI01000120.1,2872001,2874000,2873024,157,54,2.338,1.0671,0.3732,0.3096,0.2128
QRBI01000120.1,2878001,2880000,2878945,162,59,2.3727,1.8866,0.1141,0.1095,0.0756
QRBI01000120.1,2890001,2892000,2891213,145,62,2.5069,2.4514,0.0112,0.0134,0.0065
QRBI01000120.1,2892001,2894000,2892871,145,63,2.1667,1.2917,0.253,0.1808,0.1291
QRBI01000120.1,2894001,2896000,2894903,131,51,1.4815,1.0093,0.1896,0.1508,0.098
QRBI01000120.1,2900001,2902000,2901013,127,60,1.2315,1.287,-0.0221,-0.0164,-0.01
QRBI01000120.1,2912001,2914000,2913150,120,50,0.9074,0.5602,0.2366,0.1661,0.1144
