scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
QRBI01000120.1,304001,306000,305067,158,54,1.3264,0.6458,0.3451,0.1437,0.1023
QRBI01000120.1,308001,310000,309003,170,54,1.3449,1.3588,-0.0051,-0.0048,-0.0023
QRBI01000120.1,334001,336000,335050,145,58,1.6019,1.9213,-0.0907,-0.0954,-0.0403
QRBI01000120.1,356001,358000,357032,135,51,1.7847,1.2153,0.1898,0.1708,0.1093
QRBI01000120.1,358001,360000,359142,157,60,1.6273,2.4606,-0.2039,-0.1884,-0.078
QRBI01000120.1,368001,370000,368802,132,50,1.4537,0.7176,0.339,0.1398,0.115
QRBI01000120.1,388001,390000,388976,133,51,0.5764,0.8264,-0.1782,-0.0997,-0.0515
QRBI01000120.1,402001,404000,402985,187,55,0.9097,1.4792,-0.2384,-0.2523,-0.1102
QRBI01000120.1,406001,408000,407013,191,63,2.088,1.588,0.136,0.095,0.0644
QRBI01000120.1,414001,416000,414955,162,51,0.3056,1.1667,-0.5849,-0.3229,-0.1552
QRBI01000120.1,522001,524000,522975,148,54,0.6782,0.956,-0.17,-0.0948,-0.0524
QRBI01000120.1,524001,526000,525140,187,69,0.5417,0.4722,0.0685,0.0199,0.0121
QRBI01000120.1,552001,554000,552940,201,57,1.0486,1.7153,-0.2412,-0.1836,-0.0886
QRBI01000120.1,554001,556000,555004,208,80,2.1806,2.6944,-0.1054,-0.1128,-0.0491
QRBI01000120.1,576001,578000,576978,129,52,1.9074,1.3102,0.1856,0.1396,0.0817
QRBI01000120.1,612001,614000,612937,163,55,0.662,1.2037,-0.2903,-0.1152,-0.0754
QRBI01000120.1,644001,646000,644813,149,53,1.728,1.6238,0.0311,0.0292,0.0182
QRBI01000120.1,648001,650000,649071,200,84,4.441,2.2188,0.3337,0.2891,0.1718
QRBI01000120.1,650001,652000,650862,152,52,1.1759,1.544,-0.1353,-0.1043,-0.0565
QRBI01000120.1,660001,662000,661041,175,60,1.7431,2.5347,-0.1851,-0.1979,-0.1099
QRBI01000120.1,736001,738000,737092,177,60,0.9769,2.1019,-0.3654,-0.3951,-0.1643
QRBI01000120.1,742001,744000,742929,156,64,3.0556,1.9028,0.2325,0.2019,0.1356
QRBI01000120.1,746001,748000,746987,153,55,0.625,2.25,-0.5652,-0.4606,-0.2438
QRBI01000120.1,764001,766000,765059,129,53,2.0417,1.7639,0.073,0.0855,0.0419
QRBI01000120.1,808001,810000,809115,150,61,1.5787,1.8565,-0.0809,-0.1061,-0.0481
QRBI01000120.1,818001,820000,819096,155,50,1.0255,1.7338,-0.2567,-0.4215,-0.1068
QRBI01000120.1,860001,862000,861001,169,55,0.3889,1.3889,-0.5625,-0.5143,-0.1447
QRBI01000120.1,878001,880000,878976,160,52,0.6991,1.7963,-0.4397,-0.5374,-0.2607
QRBI01000120.1,880001,882000,880981,164,50,0.8715,0.7674,0.0636,0.0332,0.0234
QRBI01000120.1,894001,896000,894964,161,54,0.963,0.9491,0.0073,0.0043,0.0025
QRBI01000120.1,902001,904000,902840,151,51,1.1736,2.3542,-0.3346,-0.3881,-0.1662
QRBI01000120.1,904001,906000,905010,170,59,0.7153,2.4306,-0.5453,-0.688,-0.219
QRBI01000120.1,940001,942000,940907,152,51,0.6273,0.7523,-0.0906,-0.0474,-0.0217
QRBI01000120.1,952001,954000,952876,168,55,1.2106,2.0162,-0.2496,-0.2944,-0.1429
QRBI01000120.1,954001,956000,955063,149,52,1.3472,0.3958,0.5458,0.2272,0.1629
QRBI01000120.1,990001,992000,991124,188,57,0.912,1.169,-0.1235,-0.0777,-0.0486
QRBI01000120.1,996001,998000,997076,164,54,1.5463,2.4352,-0.2233,-0.2771,-0.1309
QRBI01000120.1,1004001,1006000,1004911,158,53,1.6146,2.4757,-0.2105,-0.2385,-0.1137
QRBI01000120.1,1022001,1024000,1023062,182,70,1.4757,1.3715,0.0366,0.0295,0.019
QRBI01000120.1,1024001,1026000,1024869,125,52,1.2847,1.4792,-0.0704,-0.0552,-0.0294
QRBI01000120.1,1046001,1048000,1046652,194,53,1.5787,1.1343,0.1638,0.0991,0.0699
QRBI01000120.1,1058001,1060000,1059053,191,56,1.8449,1.3032,0.1721,0.1383,0.0825
QRBI01000120.1,1062001,1064000,1062939,135,52,2.1736,2.4444,-0.0586,-0.099,-0.024
QRBI01000120.1,1076001,1078000,1076959,167,54,0.9491,1.8657,-0.3257,-0.3837,-0.1465
QRBI01000120.1,1084001,1086000,1084933,145,65,1.9317,2.4525,-0.1188,-0.1359,-0.057
QRBI01000120.1,1088001,1090000,1089265,114,50,1.1354,1.4896,-0.1349,-0.081,-0.0517
QRBI01000120.1,1166001,1168000,1166904,160,59,1.9653,1.4167,0.1622,0.1426,0.0963
QRBI01000120.1,1172001,1174000,1172864,118,52,1.1285,1.066,0.0285,0.0201,0.0119
QRBI01000120.1,1182001,1184000,1182939,180,59,1.0463,1.7407,-0.2492,-0.2646,-0.1148
QRBI01000120.1,1234001,1236000,1235030,127,56,1.6528,1.1597,0.1753,0.1379,0.099
QRBI01000120.1,1238001,1240000,1239004,147,58,0.9722,0.3472,0.4737,0.1651,0.0896
QRBI01000120.1,1240001,1242000,1241274,140,54,1.4097,1.9514,-0.1612,-0.1176,-0.072
QRBI01000120.1,1246001,1248000,1247338,144,58,2.0,1.9306,0.0177,0.0125,0.0069
QRBI01000120.1,1260001,1262000,1261035,180,69,1.8819,3.8889,-0.3478,-0.6437,-0.2504
QRBI01000120.1,1296001,1298000,1296854,141,55,1.956,4.0949,-0.3535,-0.4179,-0.2064
QRBI01000120.1,1314001,1316000,1315013,108,54,2.5995,1.2106,0.3645,0.2829,0.2043
QRBI01000120.1,1388001,1390000,1388989,167,63,0.8704,0.9954,-0.067,-0.0423,-0.0254
QRBI01000120.1,1396001,1398000,1397081,146,50,1.5625,1.6389,-0.0239,-0.0379,-0.015
QRBI01000120.1,1436001,1438000,1437047,139,53,1.1389,0.75,0.2059,0.1256,0.0784
QRBI01000120.1,1438001,1440000,1439108,138,53,1.8542,1.4236,0.1314,0.1138,0.0798
QRBI01000120.1,1456001,1458000,1456767,143,56,1.4861,1.6806,-0.0614,-0.0943,-0.0292
QRBI01000120.1,1546001,1548000,1547022,181,54,1.662,1.1968,0.1628,0.1236,0.082
QRBI01000120.1,1564001,1566000,1564840,159,55,1.3681,2.7569,-0.3367,-0.4357,-0.2345
QRBI01000120.1,1572001,1574000,1573096,167,58,1.7176,1.4398,0.088,0.0605,0.0353
QRBI01000120.1,1574001,1576000,1575021,182,59,0.3866,0.8866,-0.3927,-0.1417,-0.0804
QRBI01000120.1,1590001,1592000,1590980,189,59,1.0625,1.8403,-0.2679,-0.2,-0.0958
QRBI01000120.1,1604001,1606000,1605018,167,65,2.1204,2.6481,-0.1107,-0.107,-0.05
QRBI01000120.1,1720001,1722000,1721008,145,61,0.8981,1.0856,-0.0945,-0.0663,-0.0455
QRBI01000120.1,1728001,1730000,1728946,157,54,1.0336,2.1655,-0.3538,-0.3361,-0.1876
QRBI01000120.1,1802001,1804000,1802891,115,52,0.2014,1.4653,-0.7583,-1.6852,-0.3028
QRBI01000120.1,1808001,1810000,1809006,139,57,0.7986,1.0486,-0.1353,-0.0994,-0.0442
QRBI01000120.1,1814001,1816000,1815024,105,56,2.2257,2.2465,-0.0047,-0.0069,-0.0028
QRBI01000120.1,1820001,1822000,1820956,152,56,0.6343,1.1759,-0.2992,-0.3594,-0.1595
QRBI01000120.1,1824001,1826000,1824930,140,58,1.5602,1.3519,0.0715,0.0723,0.0349
QRBI01000120.1,1854001,1856000,1855032,140,55,0.6227,0.5116,0.098,0.0557,0.0394
QRBI01000120.1,1924001,1926000,1924982,131,51,2.2222,1.2222,0.2903,0.3731,0.2102
QRBI01000120.1,1936001,1938000,1937201,120,52,1.3704,0.8843,0.2156,0.1837,0.119
QRBI01000120.1,1952001,1954000,1953109,127,50,1.8356,1.1829,0.2163,0.1797,0.1199
QRBI01000120.1,1990001,1992000,1991039,158,58,2.0139,2.0694,-0.0136,-0.0132,-0.0068
QRBI01000120.1,1992001,1994000,1992996,159,54,1.3542,1.7153,-0.1176,-0.0788,-0.0523
QRBI01000120.1,1994001,1996000,1995072,148,59,2.1562,2.941,-0.154,-0.2783,-0.1214
QRBI01000120.1,2006001,2008000,2007134,196,77,1.5394,1.2894,0.0884,0.0509,0.0363
QRBI01000120.1,2046001,2048000,2046941,180,54,0.8588,1.7963,-0.3531,-0.54,-0.1971
QRBI01000120.1,2054001,2056000,2054852,161,50,1.2211,1.2558,-0.014,-0.0122,-0.0066
QRBI01000120.1,2062001,2064000,2063075,159,53,0.7847,1.8264,-0.3989,-0.3254,-0.1792
QRBI01000120.1,2066001,2068000,2066971,139,50,0.8611,1.5694,-0.2914,-0.2939,-0.1659
QRBI01000120.1,2068001,2070000,2068951,158,65,0.7315,2.7454,-0.5792,-0.6304,-0.2513
QRBI01000120.1,2082001,2084000,2082951,165,55,0.2731,1.0648,-0.5917,-0.2984,-0.1564
QRBI01000120.1,2084001,2086000,2084966,137,63,1.5347,1.6042,-0.0221,-0.0187,-0.0101
QRBI01000120.1,2088001,2090000,2088963,165,60,1.037,0.8912,0.0756,0.0557,0.0259
QRBI01000120.1,2142001,2144000,2143135,126,53,1.7963,1.3796,0.1312,0.155,0.0834
QRBI01000120.1,2168001,2170000,2169142,141,51,1.2176,1.1898,0.0115,0.0117,0.0059
QRBI01000120.1,2174001,2176000,2175132,210,61,1.9884,2.3079,-0.0744,-0.0987,-0.0411
QRBI01000120.1,2186001,2188000,2186979,175,69,1.5486,0.9931,0.2186,0.0973,0.0725
QRBI01000120.1,2226001,2228000,2227013,190,66,1.4722,0.6875,0.3633,0.2311,0.1811
QRBI01000120.1,2252001,2254000,2252965,152,55,0.1389,0.3611,-0.4444,-0.1531,-0.0357
QRBI01000120.1,2284001,2286000,2285013,160,50,0.7083,0.3889,0.2911,0.1072,0.0645
QRBI01000120.1,2292001,2294000,2292994,179,70,1.6458,1.8125,-0.0482,-0.0401,-0.0206
QRBI01000120.1,2352001,2354000,2353091,180,63,2.0787,1.4676,0.1723,0.0896,0.0631
QRBI01000120.1,2358001,2360000,2359095,177,60,1.1227,2.4282,-0.3677,-0.1856,-0.1032
QRBI01000120.1,2364001,2366000,2364949,163,59,1.7847,0.6458,0.4686,0.3542,0.1673
QRBI01000120.1,2374001,2376000,2375090,140,59,0.6771,0.3021,0.383,0.1534,0.0853
QRBI01000120.1,2388001,2390000,2389238,148,53,1.0602,1.5602,-0.1908,-0.1827,-0.0828
QRBI01000120.1,2398001,2400000,2398981,180,69,1.463,2.4352,-0.2494,-0.3111,-0.0867
QRBI01000120.1,2406001,2408000,2407071,178,62,1.5185,1.3796,0.0479,0.0414,0.0237
QRBI01000120.1,2408001,2410000,2408750,151,51,0.5,0.6111,-0.1,-0.0766,-0.0317
QRBI01000120.1,2424001,2426000,2424928,150,52,0.7153,0.2014,0.5606,0.1783,0.1312
QRBI01000120.1,2444001,2446000,2445106,143,50,1.6667,1.3611,0.1009,0.0628,0.038
QRBI01000120.1,2464001,2466000,2464844,158,54,1.6574,1.6574,0.0,0.0,0.0
QRBI01000120.1,2478001,2480000,2479089,160,57,1.7593,0.7593,0.3971,0.2179,0.1317
QRBI01000120.1,2500001,2502000,2500954,137,52,1.6528,1.6389,0.0042,0.0037,0.0022
QRBI01000120.1,2524001,2526000,2525004,134,56,1.6991,0.8519,0.3321,0.2421,0.154
QRBI01000120.1,2526001,2528000,2526992,160,55,1.2917,1.7917,-0.1622,-0.2229,-0.0477
QRBI01000120.1,2536001,2538000,2536919,131,50,1.3403,1.4931,-0.0539,-0.0564,-0.024
QRBI01000120.1,2550001,2552000,2551064,182,50,0.4444,0.4861,-0.0448,-0.0199,-0.0094
QRBI01000120.1,2618001,2620000,2619066,156,58,0.75,0.8611,-0.069,-0.0519,-0.0232
QRBI01000120.1,2626001,2628000,2627013,162,58,2.6597,1.8125,0.1894,0.1955,0.1466
QRBI01000120.1,2648001,2650000,2649068,135,54,0.9769,1.588,-0.2383,-0.2514,-0.1067
QRBI01000120.1,2650001,2652000,2650887,133,50,1.5394,2.1366,-0.1625,-0.2199,-0.1144
QRBI01000120.1,2652001,2654000,2652941,157,57,1.3241,2.0741,-0.2207,-0.3095,-0.1091
QRBI01000120.1,2654001,2656000,2655044,166,53,1.0417,0.6111,0.2605,0.155,0.0916
QRBI01000120.1,2662001,2664000,2663058,158,51,0.6204,0.8426,-0.1519,-0.06,-0.0408
QRBI01000120.1,2672001,2674000,2673143,133,50,0.8125,1.1319,-0.1643,-0.2644,-0.1127
QRBI01000120.1,2684001,2686000,2685212,131,52,1.2778,0.8403,0.2066,0.1216,0.0858
QRBI01000120.1,2692001,2694000,2692952,150,56,1.2095,0.8553,0.1715,0.0799,0.0594
QRBI01000120.1,2696001,2698000,2696967,171,56,1.3333,1.8056,-0.1504,-0.1113,-0.0727
QRBI01000120.1,2740001,2742000,2741202,170,50,1.581,0.7824,0.3379,0.1983,0.1098
QRBI01000120.1,2796001,2798000,2796970,152,60,2.4606,1.0301,0.4098,0.354,0.2455
QRBI01000120.1,2802001,2804000,2803045,160,70,2.213,2.6435,-0.0887,-0.0966,-0.059
QRBI01000120.1,2818001,2820000,2819033,166,51,1.088,1.6852,-0.2154,-0.2257,-0.1078
QRBI01000120.1,2878001,2880000,2878945,162,51,1.4352,0.6296,0.3901,0.2348,0.1681
QRBI01000120.1,2892001,2894000,2892871,145,64,1.2083,1.0972,0.0482,0.0334,0.0201
QRBI01000120.1,2900001,2902000,2901013,127,57,1.75,0.9444,0.299,0.2397,0.1357
QRBI01000120.1,2904001,2906000,2905094,192,50,0.625,0.8056,-0.1262,-0.0939,-0.0557
QRBI01000120.1,2916001,2918000,2917091,134,55,1.1921,1.8727,-0.2221,-0.1625,-0.087
QRBI01000120.1,2918001,2920000,2918948,132,51,0.7361,1.2778,-0.269,-0.2179,-0.0971
QRBI01000120.1,2922001,2924000,2922930,135,53,1.7396,1.559,0.0547,0.0353,0.021
QRBI01000120.1,2968001,2970000,2968862,170,66,3.9005,4.2824,-0.0467,-0.1175,-0.0352
QRBI01000120.1,2976001,2978000,2976730,150,66,1.2303,1.6678,-0.151,-0.176,-0.0747
QRBI01000120.1,2990001,2992000,2991095,164,56,1.8194,0.3889,0.6478,0.2251,0.1858
QRBI01000120.1,2994001,2996000,2994955,179,64,2.3657,3.9352,-0.2491,-0.3393,-0.1697
QRBI01000120.1,2996001,2998000,2997107,171,59,1.8264,2.3542,-0.1262,-0.1445,-0.0587
QRBI01000120.1,2998001,3000000,2999055,161,65,1.5093,1.8981,-0.1141,-0.1039,-0.0457
QRBI01000120.1,3000001,3002000,3000978,111,51,0.8657,1.0324,-0.0878,-0.0774,-0.0352
QRBI01000120.1,3008001,3010000,3009136,144,53,1.375,1.1667,0.082,0.0763,0.0407
QRBI01000120.1,3010001,3012000,3011023,175,66,1.9688,1.559,0.1161,0.0729,0.0474
QRBI01000120.1,3016001,3018000,3016979,139,54,0.9792,1.2014,-0.1019,-0.0653,-0.033
QRBI01000120.1,3018001,3020000,3018870,132,55,1.294,1.169,0.0508,0.0359,0.021
QRBI01000120.1,3020001,3022000,3021005,179,72,1.7037,1.1343,0.2007,0.1346,0.1035
QRBI01000120.1,3022001,3024000,3022882,146,62,1.5683,1.8669,-0.0869,-0.0756,-0.0464
QRBI01000120.1,3026001,3028000,3027043,132,62,2.125,1.75,0.0968,0.0765,0.0515
QRBI01000120.1,3028001,3030000,3028903,172,77,1.6285,1.8785,-0.0713,-0.0471,-0.0281
QRBI01000120.1,3030001,3032000,3030991,158,57,1.8125,2.0903,-0.0712,-0.0631,-0.0353
QRBI01000120.1,3048001,3050000,3049083,139,59,1.1921,1.0255,0.0752,0.0661,0.0422
QRBI01000120.1,3060001,3062000,3061035,157,51,0.1713,0.8935,-0.6783,-0.1922,-0.1178
QRBI01000120.1,3072001,3074000,3073046,157,52,1.6852,1.0185,0.2466,0.2115,0.1435
QRBI01000120.1,3098001,3100000,3098877,163,54,1.3009,1.0509,0.1063,0.0593,0.0384
QRBI01000120.1,3102001,3104000,3103081,138,65,0.6181,2.6181,-0.618,-1.1294,-0.2254
QRBI01000120.1,3110001,3112000,3111034,143,51,1.1944,0.6944,0.2647,0.142,0.1104
QRBI01000120.1,3112001,3114000,3113056,157,51,0.9028,1.2222,-0.1503,-0.1878,-0.0642
QRBI01000120.1,3142001,3144000,3143124,150,55,1.6435,1.6435,-0.0,-0.0,-0.0
QRBI01000120.1,3144001,3146000,3145042,160,52,1.2303,2.7998,-0.3894,-0.3363,-0.1919
QRBI01000120.1,3148001,3150000,3148980,143,50,0.8241,2.0185,-0.4202,-0.3258,-0.1443
QRBI01000120.1,3150001,3152000,3150957,156,63,1.9606,2.0856,-0.0309,-0.0257,-0.0152
QRBI01000120.1,3154001,3156000,3154779,127,52,1.0509,1.5509,-0.1922,-0.1989,-0.127
QRBI01000120.1,3162001,3164000,3162945,150,64,1.4167,2.6111,-0.2966,-0.4247,-0.1795
QRBI01000120.1,3174001,3176000,3175008,168,52,0.5799,0.9201,-0.2269,-0.0976,-0.0602
QRBI01000120.1,3184001,3186000,3185122,188,66,1.7222,2.6806,-0.2177,-0.2438,-0.1297
QRBI01000120.1,3194001,3196000,3195133,189,72,2.0255,2.4977,-0.1044,-0.1347,-0.0582
QRBI01000120.1,3202001,3204000,3202895,161,53,0.8773,1.7106,-0.322,-0.2637,-0.132
QRBI01000120.1,3224001,3226000,3224967,122,50,1.3449,1.2894,0.0211,0.0191,0.0114
QRBI01000120.1,3228001,3230000,3229046,143,51,2.794,1.2245,0.3906,0.3117,0.2467
QRBI01000120.1,3230001,3232000,3230923,137,51,1.4676,1.0231,0.1784,0.0976,0.0687
QRBI01000120.1,3242001,3244000,3242974,188,66,1.9722,2.3056,-0.0779,-0.0783,-0.0404
QRBI01000120.1,3268001,3270000,3268882,166,55,1.7801,1.6134,0.0491,0.0539,0.0249
QRBI01000120.1,3324001,3326000,3324921,107,56,0.6134,0.8773,-0.177,-0.1013,-0.0613
QRBI01000120.1,3370001,3372000,3370946,173,68,2.2384,2.4468,-0.0445,-0.0649,-0.0299
QRBI01000120.1,3380001,3382000,3380981,201,61,1.8345,1.7998,0.0096,0.0118,0.0061
QRBI01000120.1,3386001,3388000,3386830,181,66,1.7697,1.2488,0.1725,0.1046,0.0594
QRBI01000120.1,3398001,3400000,3398886,137,56,2.6065,1.787,0.1865,0.2394,0.1545
QRBI01000120.1,3416001,3418000,3417045,117,51,1.7153,2.3958,-0.1655,-0.4475,-0.1261
QRBI01000120.1,3462001,3464000,3463002,147,54,2.1111,1.4583,0.1829,0.1403,0.0791
QRBI01000120.1,3468001,3470000,3468945,178,65,1.2685,1.463,-0.0712,-0.0379,-0.0232
QRBI01000120.1,3470001,3472000,3471163,159,59,2.5741,1.7963,0.178,0.1139,0.0782
QRBI01000120.1,3478001,3480000,3479034,160,67,0.8657,0.8519,0.0081,0.004,0.0025
QRBI01000120.1,3482001,3484000,3482966,157,55,1.2708,1.9097,-0.2009,-0.1742,-0.0814
QRBI01000120.1,3506001,3508000,3507053,176,62,2.0926,0.6759,0.5117,0.3429,0.2353
QRBI01000120.1,3508001,3510000,3508908,212,75,3.7801,0.669,0.6993,0.4099,0.3003
QRBI01000120.1,3534001,3536000,3534852,134,50,1.0394,2.081,-0.3338,-0.4043,-0.203
QRBI01000120.1,3544001,3546000,3545305,157,61,1.9097,1.75,0.0436,0.0685,0.017
QRBI01000120.1,3548001,3550000,3548965,153,63,1.8519,1.1296,0.2422,0.2358,0.139
QRBI01000120.1,3554001,3556000,3555009,157,53,0.9051,0.8079,0.0568,0.0333,0.0192
QRBI01000120.1,3574001,3576000,3574867,128,57,1.662,1.5926,0.0213,0.0161,0.0095
QRBI01000120.1,3576001,3578000,3577097,128,55,1.5486,2.9236,-0.3075,-0.6226,-0.2222
QRBI01000120.1,3580001,3582000,3580954,128,55,2.3889,1.9306,0.1061,0.1017,0.0704
QRBI01000120.1,3614001,3616000,3614880,129,51,1.7454,1.8981,-0.0419,-0.0596,-0.0398
QRBI01000120.1,3644001,3646000,3645203,141,59,2.1528,2.9583,-0.1576,-0.1959,-0.0992
QRBI01000120.1,3646001,3648000,3646915,204,69,1.3588,1.5046,-0.0509,-0.0453,-0.0224
QRBI01000120.1,3654001,3656000,3654930,165,61,1.0833,0.9722,0.0541,0.0362,0.0217
QRBI01000120.1,3668001,3670000,3668978,177,60,1.4606,2.0648,-0.1714,-0.1995,-0.086
QRBI01000120.1,3702001,3704000,3703021,149,68,1.4097,1.1181,0.1154,0.0925,0.0563
QRBI01000120.1,3760001,3762000,3761045,148,51,4.0637,1.1262,0.566,0.307,0.274
QRBI01000120.1,3770001,3772000,3770899,123,55,1.8438,1.6354,0.0599,0.0628,0.0417
QRBI01000120.1,3798001,3800000,3798957,156,53,0.8171,2.4282,-0.4964,-0.4113,-0.2075
QRBI01000120.1,3812001,3814000,3813014,154,62,1.0694,1.7361,-0.2376,-0.2308,-0.1087
QRBI01000120.1,3814001,3816000,3814993,153,54,0.7477,0.8866,-0.085,-0.0488,-0.0334
QRBI01000120.1,3824001,3826000,3825014,130,51,1.4259,0.7454,0.3134,0.2414,0.1392
QRBI01000120.1,3830001,3832000,3831103,157,61,2.1389,1.0556,0.3391,0.1617,0.1026
QRBI01000120.1,3832001,3834000,3833005,170,59,2.8102,1.7546,0.2312,0.1872,0.1136
QRBI01000120.1,3836001,3838000,3836948,174,58,1.8657,3.3241,-0.281,-0.3763,-0.1853
QRBI01000120.1,3838001,3840000,3839030,209,70,2.0278,1.2083,0.2532,0.181,0.1161
QRBI01000120.1,3844001,3846000,3844907,179,59,0.6042,2.0903,-0.5515,-2.3011,-0.2639
QRBI01000120.1,3850001,3852000,3851052,160,58,2.4236,3.0694,-0.1176,-0.1276,-0.0907
QRBI01000120.1,3860001,3862000,3860907,164,52,1.1898,2.1481,-0.2871,-0.4525,-0.1691
QRBI01000120.1,3862001,3864000,3862843,153,58,3.4468,1.6273,0.3586,0.5029,0.2554
QRBI01000120.1,3864001,3866000,3865000,139,51,1.3611,2.1111,-0.216,-0.1528,-0.1085
QRBI01000120.1,3876001,3878000,3876888,149,55,1.3102,1.3796,-0.0258,-0.0237,-0.0156
QRBI01000120.1,3884001,3886000,3885120,130,50,1.5509,0.7037,0.3758,0.2421,0.149
QRBI01000120.1,3900001,3902000,3900950,154,50,1.0301,1.6273,-0.2247,-0.1955,-0.108
QRBI01000120.1,3902001,3904000,3902980,187,51,0.9404,2.0723,-0.3757,-0.3835,-0.1691
QRBI01000120.1,3904001,3906000,3905068,153,52,0.4954,0.4676,0.0288,0.0108,0.0072
QRBI01000120.1,3912001,3914000,3913049,190,78,1.2338,1.5949,-0.1277,-0.0952,-0.0572
QRBI01000120.1,3914001,3916000,3914996,178,50,1.0046,1.3796,-0.1573,-0.1274,-0.0675
QRBI01000120.1,3924001,3926000,3924989,153,51,1.5278,1.2222,0.1111,0.0894,0.0406
QRBI01000120.1,3926001,3928000,3926899,151,55,1.0,1.9167,-0.3143,-0.2863,-0.1485
QRBI01000120.1,3930001,3932000,3931049,130,51,0.8426,1.8426,-0.3724,-0.8944,-0.1754
QRBI01000120.1,3936001,3938000,3937138,162,51,1.4861,1.0278,0.1823,0.2056,0.088
QRBI01000120.1,3946001,3948000,3947016,148,54,2.0671,2.1782,-0.0262,-0.0329,-0.0153
QRBI01000120.1,3960001,3962000,3961120,126,50,0.8704,0.5231,0.2492,0.1253,0.0761
QRBI01000120.1,3996001,3998000,3997032,156,50,1.9583,1.8611,0.0255,0.0329,0.0202
QRBI01000120.1,4012001,4014000,4013031,148,58,2.8113,0.853,0.5344,0.2962,0.2304
QRBI01000120.1,4028001,4030000,4028993,106,54,1.0729,3.1215,-0.4884,-0.7702,-0.2391
QRBI01000120.1,4036001,4038000,4036924,138,57,1.0741,0.8102,0.14,0.1038,0.067
QRBI01000120.1,4044001,4046000,4044936,167,64,2.5532,2.6852,-0.0252,-0.0226,-0.0148
QRBI01000120.1,4076001,4078000,4076979,163,59,1.4537,2.1759,-0.199,-0.2131,-0.13
QRBI01000120.1,4092001,4094000,4093025,143,57,0.6319,0.7292,-0.0714,-0.039,-0.0225
QRBI01000120.1,4104001,4106000,4105082,158,52,0.963,1.1157,-0.0735,-0.0553,-0.0373
QRBI01000120.1,4116001,4118000,4117074,143,52,1.0324,0.8657,0.0878,0.0632,0.0353
QRBI01000120.1,4120001,4122000,4120897,154,52,0.2708,0.6736,-0.4265,-0.1167,-0.0728
QRBI01000120.1,4126001,4128000,4127040,143,53,2.4444,1.5972,0.2096,0.2171,0.1325
QRBI01000120.1,4140001,4142000,4140799,157,53,0.6366,0.6505,-0.0108,-0.0065,-0.0035
QRBI01000120.1,4148001,4150000,4149031,145,54,0.559,0.2882,0.3197,0.1466,0.0907
QRBI01000120.1,4152001,4154000,4152968,147,50,1.5648,1.2731,0.1028,0.055,0.044
QRBI01000120.1,4182001,4184000,4183057,188,59,0.8194,1.2361,-0.2027,-0.1596,-0.0968
QRBI01000120.1,4202001,4204000,4203202,118,50,1.0231,0.8148,0.1134,0.0898,0.0464
QRBI01000120.1,4314001,4316000,4315031,147,50,1.037,1.2176,-0.0801,-0.0875,-0.0378
QRBI01000120.1,4406001,4408000,4406949,140,54,1.5949,2.3588,-0.1932,-0.303,-0.1495
QRBI01000120.1,4486001,4488000,4487046,150,63,1.4543,1.9682,-0.1502,-0.1229,-0.067
QRBI01000120.1,4608001,4610000,4609033,184,53,0.7338,0.581,0.1162,0.0328,0.0259
QRBI01000120.1,4636001,4638000,4636867,165,51,1.2488,1.9502,-0.2192,-0.3186,-0.1464
